distances,mae,component_mae
1,1.9922708333333332,0.9471929824561404
2,2.4793125000000003,1.6093333333333333
3,2.74125,2.301263157894737
4,2.7117083333333336,2.0399999999999996
5,2.502104166666667,1.8028070175438597
6,2.6227916666666666,1.6724912280701756
7,2.9992291666666664,2.359614035087719
8,2.6967083333333335,2.1841754385964913
9,2.8745833333333333,2.660035087719298
10,2.977395833333333,2.4256842105263154
11,3.5496041666666662,3.194280701754386
12,3.594270833333333,3.1727017543859644
13,3.731770833333333,3.4901403508771933
14,3.9873958333333333,3.8438596491228076
15,4.101062499999999,3.896421052631579
16,4.313333333333333,4.383543859649123
17,4.4651250000000005,4.768000000000001
18,4.673729166666667,4.742280701754386
19,5.026958333333334,4.985859649122808
20,4.70325,5.225333333333333
