distances,mae,component_mae
1,2.380229166666666,1.6068421052631578
2,2.5711250000000003,2.168105263157895
3,2.7305208333333337,2.1616491228070176
4,2.5118750000000003,1.5275087719298246
5,2.5957083333333335,1.8759298245614038
6,2.690666666666667,2.2062456140350877
7,2.7793750000000004,2.267017543859649
8,2.7541458333333333,2.1823157894736847
9,3.060583333333333,2.7005614035087713
10,3.6779375,3.351578947368421
11,3.404749999999999,3.1429824561403508
12,3.8055208333333335,3.8672280701754382
13,3.9082083333333335,3.7697894736842104
14,4.042104166666666,4.274666666666667
15,4.215145833333334,4.343052631578948
16,4.567770833333333,4.864631578947369
17,4.589479166666667,5.046385964912281
18,4.9900416666666665,5.440666666666667
19,4.960458333333333,5.432070175438596
20,5.667,6.483719298245615
