distances,mae,component_mae
1,2.5630625,1.780140350877193
2,2.063604166666667,1.0123859649122804
3,2.6705625,1.7648421052631584
4,2.385770833333333,1.4295438596491223
5,2.3249375,1.2200350877192983
6,2.276375,1.374
7,2.5791250000000003,1.6510526315789478
8,2.5305833333333334,1.947859649122807
9,2.898041666666667,2.112035087719298
10,2.776479166666667,2.2133333333333334
11,3.2244166666666665,2.5738596491228067
12,3.053270833333333,2.435614035087719
13,3.155895833333333,2.761438596491228
14,3.388854166666667,3.0233684210526315
15,3.6457499999999996,3.165754385964912
16,3.8426250000000004,3.5234385964912285
17,3.885791666666667,3.7122807017543864
18,3.7496250000000004,3.436947368421052
19,4.3479375000000005,4.328912280701755
20,4.429458333333333,4.5588070175438595
