distances,mae,component_mae
1,2.3609583333333335,1.372631578947369
2,2.08075,1.2298245614035086
3,2.3648333333333333,1.4841754385964916
4,2.3930625,1.3502456140350876
5,2.5926666666666667,1.5203859649122808
6,2.841395833333333,2.14880701754386
7,2.6879791666666666,1.981157894736842
8,2.8456666666666663,2.1292631578947367
9,3.0769999999999995,2.3612631578947374
10,2.9504583333333327,2.468
11,2.9260625,2.499859649122807
12,3.3488750000000005,2.9283508771929823
13,3.4998749999999994,3.320491228070175
14,3.815354166666667,3.473754385964912
15,3.8300000000000005,3.6746315789473685
16,3.8499583333333334,3.920561403508772
17,3.944104166666667,4.178877192982457
18,4.661041666666667,4.6979649122807015
19,4.432854166666667,4.620421052631579
20,4.555854166666665,4.347929824561404
