distances,mae,component_mae
1,2.3190416666666662,1.4535438596491228
2,2.573854166666667,1.7597543859649125
3,2.1585208333333337,1.0967368421052632
4,1.9612500000000002,0.9271578947368422
5,2.135416666666667,1.0545263157894738
6,2.564333333333333,1.6332631578947368
7,2.763145833333333,1.9147719298245611
8,2.7880208333333334,1.9218947368421049
9,2.6732916666666666,1.7965614035087718
10,2.8650833333333336,2.1349473684210527
11,3.0377083333333337,2.4198245614035088
12,3.2919375000000004,2.502701754385965
13,3.1676875000000004,2.6985964912280704
14,3.2299999999999995,2.823964912280702
15,3.648229166666667,3.1738947368421053
16,3.6521458333333334,3.4248421052631577
17,3.909020833333334,3.6498596491228072
18,3.762354166666666,3.723438596491227
19,4.0103124999999995,3.990631578947368
20,4.46725,4.0702456140350876
