distances,mae,component_mae
1,1.9923333333333333,1.2933684210526315
2,2.3979375000000003,1.7495789473684211
3,2.2745,1.1367719298245613
4,2.082125,1.0905614035087716
5,2.438229166666667,1.7868421052631578
6,2.2196041666666666,1.2798596491228067
7,2.405854166666667,1.654105263157895
8,2.6974166666666664,1.9357192982456137
9,2.8418125000000005,2.1584912280701753
10,3.0487916666666672,2.5333333333333337
11,2.8403541666666667,2.449684210526316
12,3.239791666666666,2.940105263157895
13,3.3325208333333327,2.9423157894736844
14,3.4559791666666664,3.1825263157894734
15,3.3848958333333337,3.184561403508772
16,3.5152083333333337,3.315543859649123
17,3.6432708333333332,3.6334736842105264
18,3.8511458333333337,3.8476140350877195
19,3.9092708333333333,4.003368421052632
20,4.297104166666666,4.251508771929824
