distances,mae,component_mae
1,1.8055416666666666,1.073263157894737
2,2.0160000000000005,0.9881052631578949
3,1.7085416666666666,0.8376140350877191
4,2.0361458333333333,1.1143508771929824
5,1.9430625,0.9435087719298243
6,2.2938750000000003,1.3720701754385964
7,2.359354166666667,1.7101754385964913
8,2.463395833333334,1.8629122807017549
9,2.6422708333333333,1.9799999999999998
10,2.8677708333333336,2.1886666666666668
11,2.688229166666667,2.0741052631578953
12,3.0344375,2.6779649122807014
13,2.9204999999999997,2.542631578947368
14,3.292104166666667,3.0267017543859653
15,3.483583333333334,3.1273333333333335
16,3.4438541666666667,3.2918245614035087
17,3.5241041666666666,3.461298245614035
18,3.6123125000000003,3.5075087719298246
19,3.7790416666666666,3.7202456140350875
20,3.942875000000001,4.10778947368421
