distances,mae,component_mae
1,2.30675,1.578105263157894
2,2.3395416666666664,1.429719298245614
3,1.990270833333333,0.9771929824561397
4,2.3212291666666665,1.5717192982456138
5,2.1946041666666667,1.4990175438596487
6,2.3634166666666667,1.88880701754386
7,2.8709374999999997,2.268385964912281
8,2.9061874999999997,2.4308421052631575
9,2.812270833333333,2.520982456140351
10,2.964020833333333,2.537438596491228
11,3.261833333333333,3.090315789473684
12,3.1883541666666666,3.122140350877193
13,3.37525,3.3313684210526313
14,3.664291666666667,3.795859649122807
15,4.1403125,4.099017543859649
16,3.7546666666666666,3.973017543859649
17,4.418354166666667,4.400210526315789
18,4.238541666666666,4.549684210526316
19,4.411083333333333,4.873228070175438
20,4.898166666666667,5.418631578947368
