distances,mae,component_mae
1,2.6053124999999997,2.3744210526315794
2,2.4933750000000003,1.8327017543859647
3,2.1511041666666673,1.5105614035087718
4,2.257833333333333,1.620421052631579
5,2.2981041666666666,1.6035789473684208
6,2.4376666666666664,1.9275438596491221
7,3.0912083333333333,2.8107017543859647
8,3.071625,2.5992280701754384
9,3.2764583333333333,2.739789473684211
10,3.1605,2.8903859649122814
11,3.3643124999999996,3.337719298245614
12,3.7248333333333337,3.8325964912280703
13,3.9162291666666667,3.894631578947368
14,4.376875,4.471122807017544
15,4.345229166666667,4.580526315789473
16,4.460520833333333,4.645403508771929
17,4.758416666666667,5.092877192982456
18,4.75775,5.4059649122807025
19,4.932895833333333,5.276035087719299
20,4.934749999999999,5.663789473684211
